category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.0,46.9,0.171,0.5141,0.6847,1.0551
0,20.0,46.9,0.1829,0.4982,0.6923,1.0623
0,20.0,46.9,0.1799,0.511,0.682,1.0463
0,20.0,47.0,0.1679,0.5099,0.6799,1.0484
0,20.0,47.0,0.1703,0.5073,0.6793,1.0558
0,20.0,47.0,0.1732,0.5023,0.6995,1.0427
0,20.0,47.0,0.1821,0.5159,0.6883,1.051
0,20.0,47.0,0.1881,0.5031,0.6864,1.0493
0,20.0,47.0,0.1721,0.5104,0.685,1.0438
0,20.0,47.0,0.1832,0.4963,0.6803,1.0544
0,20.0,47.0,0.1905,0.4989,0.6919,1.0535
0,20.0,47.0,0.1703,0.5159,0.6777,1.0496
0,20.0,47.0,0.1727,0.4992,0.6881,1.054
0,20.0,47.0,0.167,0.5124,0.689,1.0499
0,20.0,47.0,0.1702,0.5114,0.6919,1.045
0,20.0,46.9,0.1782,0.5071,0.695,1.0646
0,20.0,47.0,0.1816,0.5096,0.69,1.0455
0,20.0,47.0,0.1873,0.5024,0.692,1.0479
0,20.0,47.0,0.1747,0.5032,0.6902,1.0515
0,20.0,46.9,0.163,0.5005,0.6839,1.0453
0,20.0,46.9,0.1715,0.5159,0.6804,1.0473
0,20.0,46.9,0.1732,0.5026,0.6881,1.0555
0,20.0,47.0,0.1934,0.5049,0.6752,1.0508
0,20.0,46.9,0.1762,0.5071,0.6756,1.0522
0,20.0,47.0,0.1638,0.5169,0.6879,1.0554
0,20.0,46.9,0.1692,0.5108,0.6913,1.0501
0,20.0,46.9,0.1671,0.5145,0.692,1.054
0,20.0,46.9,0.1721,0.5047,0.6907,1.0589
0,20.0,47.0,0.1797,0.5147,0.6825,1.0536
0,20.0,47.0,0.1747,0.5053,0.7022,1.0515
0,20.0,46.9,0.1873,0.5143,0.6887,1.0473
0,20.0,46.9,0.1789,0.5053,0.6957,1.0434
0,20.0,47.0,0.1641,0.4976,0.6905,1.0469
0,20.0,47.0,0.1728,0.5142,0.6916,1.0592
0,20.0,47.0,0.1792,0.5073,0.6938,1.0432
0,20.0,47.0,0.1757,0.503,0.6951,1.0563
0,20.0,46.9,0.1692,0.5165,0.6906,1.0566
0,20.0,47.0,0.1741,0.5054,0.6845,1.0442
0,20.0,46.9,0.1717,0.495,0.6852,1.0467
0,20.0,47.0,0.1691,0.5003,0.6781,1.0515
0,20.0,47.0,0.1678,0.5087,0.6819,1.0549
0,20.0,46.9,0.1736,0.5012,0.6829,1.0464
0,20.0,46.9,0.1826,0.5063,0.6811,1.0498
0,20.0,46.9,0.1742,0.5061,0.6853,1.0535
0,20.0,47.0,0.1693,0.5134,0.6877,1.048
0,20.0,47.0,0.1735,0.5046,0.6733,1.0505
0,20.0,46.9,0.1706,0.5106,0.6813,1.0497
0,20.0,46.9,0.1636,0.5111,0.6816,1.0559
0,20.0,47.0,0.1715,0.5074,0.6909,1.0551
